group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,EPM_trial_1,129,0,-0.256802975,1.594970107,-3.13535396,3.140388049,0.000946797,4.882478378,-314.0758652,314.0838393,40.32266883,29.60919132,0.050141294,453.7483401,0.195798319,0.712360515
control,EPM_trial_1,129,1,-0.174376589,1.518834546,-3.12637331,3.130082167,-0.060531137,7.647601578,-313.4363429,313.0947764,53.34363957,39.37567112,0.266303747,470.9364799,0.147058824,0.576914286
control,EPM_trial_1,129,2,-0.104693291,1.650078696,-3.141361075,3.128177171,0.274929038,12.56780799,-312.5388859,7.128676997,85.46650573,61.1401366,3.472420722,415.21792,0.121008403,0.344583333
control,EPM_trial_1,129,3,-0.57163683,1.771735168,-3.138703254,3.14140045,0.141537388,19.90367461,-314.1420279,314.1331471,58.16751218,47.46988294,0,400.8045988,0.064705882,0.325194805
control,EPM_trial_1,129,4,-0.288694618,1.557577289,-3.131690336,3.131838226,-0.315208417,11.76241877,-312.8992271,313.3412527,71.31459639,47.99021764,2.113288774,358.7258855,0.091596639,0.391559633
control,EPM_trial_1,129,5,-0.335931834,1.588488078,-3.12708748,3.133883211,-0.216977824,17.99075769,-16.60708261,313.7087832,107.6299182,71.17835711,2.474837326,403.8045987,0.072268908,0.21372093
control,EPM_trial_1,129,6,-0.359889297,1.534230006,-3.133857539,3.132514884,-0.16994634,6.818453126,-313.0672005,2.152198684,97.30246435,81.71877653,2.329528634,445.7316046,0.047058824,0.756785714
control,EPM_trial_1,129,7,-0.342109236,1.749657197,-3.133342345,3.104222233,2.763182279,29.97987151,-4.710072966,312.906082,95.45496937,49.06947038,6.975305502,319.6632207,0.022689076,0.16
control,EPM_trial_1,129,8,-0.879914127,1.575289775,-3.136762298,3.109712907,-0.156904481,8.84450726,-312.2838905,4.393887985,192.2165317,118.6900455,0.183904146,530.6910459,0.040336134,0.52625
control,EPM_trial_1,129,9,0.767022192,1.70978655,-3.088984286,2.95099762,0.831812698,12.78105458,-19.34043475,53.12932925,117.8834772,61.57086112,2.848081049,297.3553433,0.011764706,0.048571429
control,EPM_trial_1,129,10,-0.471012624,1.477619366,-3.141523525,3.141292198,-0.39605971,13.9147959,-313.0454538,313.7515678,93.64634824,73.99870111,1.021948889,429.2075432,0.053781513,0.7871875
control,EPM_trial_1,129,11,-0.856143496,1.510842565,-2.878241055,2.055381766,0.17998221,0.788521096,-4.501011821,3.58290027,171.1746599,124.0029094,1.409531912,518.5489823,0.031932773,0.497894737
control,EPM_trial_1,129,12,0.344895907,1.425945013,-3.137318371,3.130039011,0.521870558,12.30034591,-2.355801043,313.5387111,101.1750568,64.97732927,2.272466142,424.3346052,0.033613445,0.6505
control,EPM_trial_1,129,13,0.491930151,1.271022819,-1.916170195,2.787405973,-1.159000737,5.615233628,-19.90895482,8.529925399,136.187723,90.92822844,5.860814521,364.5082876,0.012605042,0.068
control,EPM_trial_1,129,14,-0.424583538,1.563576623,-2.490646917,2.421152973,-1.550921872,3.754076137,-9.718918238,6.807449805,115.920759,72.95079628,3.361834625,453.0985248,0.018487395,0.228181818
control,EPM_trial_1,129,15,0.078363599,1.452608991,-2.720957608,3.04581675,3.593899652,2.51558688,-1.359894289,9.845469273,102.7206576,60.0980282,11.58912079,273.7887321,0.010084034,0.28
control,EPM_trial_1,129,16,0.817277094,2.479511327,-2.9623736,3.132818154,2.992316077,113.6403024,-310.6145333,308.7509328,111.8068611,62.76568734,27.88575309,228.3314288,0.001680672,0.16
control,EPM_trial_1,129,17,-0.814837446,0.920528033,-1.535266734,0.192961721,-2.638477296,7.768584947,-12.06969258,3.080812038,146.2715698,38.39827457,86.18742208,191.5021006,0.001680672,0.05
control,EPM_trial_2,137,0,-1.23264522,1.846084691,-3.138235847,3.138148775,0.036651656,8.93763566,-313.5728143,313.801997,39.36070151,29.98973765,0.823342533,597.2727332,0.13700919,0.750365854
control,EPM_trial_2,137,1,-0.942931442,1.745385167,-3.138852752,3.140566264,0.148232374,8.133858448,-312.2712245,313.6969522,55.10917712,41.10361929,1.470172333,406.4881158,0.141186299,0.528284024
control,EPM_trial_2,137,2,-0.475330809,1.834819586,-3.139321008,3.136624989,0.151193022,13.56260314,-313.4423761,4.248737989,78.76127417,49.23473635,0.483675991,321.3438234,0.112781955,0.395259259
control,EPM_trial_2,137,3,-1.346217005,1.711052906,-3.114011311,3.133987359,-0.092640373,11.88119324,-311.7770485,312.2368221,50.02202508,32.94242476,0,232.7296242,0.091896408,0.259636364
control,EPM_trial_2,137,4,-0.938826476,1.854562283,-3.138730389,3.13644212,-0.259550857,10.2520701,-3.894970555,313.2318898,78.99403749,61.42996954,0.735720909,428.8483935,0.09273183,0.507027027
control,EPM_trial_2,137,5,-0.230578917,1.950023726,-3.141348014,3.13994797,0.781684913,30.87912114,-313.6406549,313.8530719,106.677034,68.52979194,1.301339443,424.0435269,0.070175439,0.391666667
control,EPM_trial_2,137,6,-1.533904134,1.561791234,-3.079817838,1.971841435,-0.006132781,0.470687497,-1.672396599,1.607892767,96.91515078,88.80115578,1.224775429,533.2470726,0.047619048,0.787017544
control,EPM_trial_2,137,7,-0.724046054,1.73275754,-3.116709566,3.094727057,-0.239685171,20.53009658,-311.9374772,311.0142733,104.831425,62.80465886,3.43167658,380.7108328,0.055137845,0.212727273
control,EPM_trial_2,137,8,-0.604733919,1.651510848,-3.113641353,3.137706111,-0.123741724,11.3825729,-312.7297726,310.7393589,200.9124449,140.4947624,0.588356075,667.6296543,0.040935673,0.61877551
control,EPM_trial_2,137,9,-0.422460443,1.996434551,-2.988358453,3.133849417,-10.84636091,60.9758292,-285.5635169,46.18457775,118.0793747,56.37765628,24.68726149,243.602791,0.020885547,0.0352
control,EPM_trial_2,137,10,-0.798960675,1.712089358,-3.129772644,3.119372088,-0.089275384,12.15038869,-312.8745316,312.6708054,94.12126877,76.09811041,2.393951457,653.6330549,0.03091061,0.721081081
control,EPM_trial_2,137,11,-1.103269057,1.58804241,-3.123911726,3.098089077,-0.126899798,9.460954553,-311.8096529,5.727086674,158.3534104,130.3801697,3.834246224,670.8842884,0.034252297,0.535609756
control,EPM_trial_2,137,12,0.304095344,1.905808922,-3.0789471,3.13397067,0.274361123,7.595360791,-5.421293659,312.9815292,100.4407547,71.71600049,1.397864722,432.3019377,0.034252297,0.831707317
control,EPM_trial_2,137,13,-0.330948467,1.814305375,-3.065029592,3.092861136,-3.483035183,39.12891357,-304.7780318,12.83052922,130.5458445,79.95156291,21.27200819,328.1991406,0.014202172,0.072941176
control,EPM_trial_2,137,14,-0.839795318,1.475052209,-2.898107908,2.152894432,-2.305593951,2.759296316,-9.991535163,3.496016533,122.3177166,86.08890471,5.212950269,379.1736088,0.015873016,0.253684211
control,EPM_trial_2,137,15,0.421232493,1.896239782,-3.135661933,3.129426141,-0.907723979,34.24533155,-312.7907986,10.15228701,129.6158141,80.47437521,8.97377582,379.008081,0.01336675,0.315
control,EPM_trial_2,137,16,-0.674928655,1.5286212,-2.761821395,2.874729249,-2.25108138,6.727700006,-22.58176063,22.26961248,105.3294722,83.34948693,6.679787111,325.8469708,0.005847953,0.154285714
control,EPM_trial_2,137,17,0.316268545,1.838126361,-2.638869936,2.943933296,-0.949227938,26.66693862,-104.5782474,54.50418789,208.3194572,310.5220421,27.92378572,1800.586305,0.010860485,0.049230769
control,EPM_trial_3,141,0,0.345228809,1.154854093,-3.069102772,2.951064836,0.011604227,0.235255793,-2.117462182,3.054566042,38.42208551,23.81685532,0.385572479,378.7949873,0.166514181,0.763076923
control,EPM_trial_3,141,1,0.170795681,1.54336548,-3.138406961,3.140879331,-0.110447312,9.782112174,-314.095872,314.1264285,51.9882736,36.60354093,0.684583935,342.9165206,0.13357731,0.565616438
control,EPM_trial_3,141,2,-0.032983108,1.565934189,-3.14126731,3.138842015,0.106703406,16.64015718,-313.5070839,313.7905142,83.74760982,58.61321591,0.931061859,384.8397229,0.128087832,0.405714286
control,EPM_trial_3,141,3,-0.182300621,1.591025127,-3.124377725,3.141027057,-0.29895134,24.15225932,-313.295791,312.9137494,64.02510568,56.19002599,0,484.5561529,0.064043916,0.237142857
control,EPM_trial_3,141,4,0.10977652,1.381887658,-3.134287967,3.138974811,-0.040757072,12.1298566,-4.296864934,313.706843,65.91056989,41.89186311,0.681189934,298.9518505,0.086916743,0.564421053
control,EPM_trial_3,141,5,-0.128952226,1.78013796,-3.136188898,3.140310408,1.063348089,26.15640822,-7.720769794,313.2463068,105.6354091,67.83886489,1.14369889,418.6212369,0.056724611,0.368064516
control,EPM_trial_3,141,6,-0.066432432,1.441912825,-3.135815415,3.122248186,0.060521076,6.700270218,-3.731283621,313.3123429,87.29436524,72.10441609,1.185862756,507.1577395,0.04757548,0.846153846
control,EPM_trial_3,141,7,0.414475212,1.577845031,-3.135466302,3.136636675,1.163528706,25.74962515,-313.3500211,312.4124969,96.59956481,56.68385099,1.248886006,308.1485769,0.041171089,0.262666667
control,EPM_trial_3,141,8,-0.376233488,1.900505304,-3.131170852,3.113663995,0.226814617,9.970173375,-2.960648194,312.8676339,239.606472,190.7724281,1.060434076,823.6642184,0.02378774,0.766923077
control,EPM_trial_3,141,9,-0.1726851,1.218432541,-2.517040827,2.681413363,1.058469507,40.65452872,-178.7651019,249.7764302,118.0277691,60.17031555,15.95552993,287.2678,0.030192132,0.044848485
control,EPM_trial_3,141,10,-0.543048621,1.70364541,-3.136505645,3.129573387,-0.279149028,13.35721387,-313.3451484,313.0825823,96.34604332,77.50293103,0.518501617,507.2507019,0.069533394,0.722631579
control,EPM_trial_3,141,11,-0.71668391,1.645729933,-3.118440461,3.131093907,-0.530633207,15.31574882,-309.9111483,6.345881599,247.6308715,175.9019646,6.233735843,801.8134679,0.031107045,0.483529412
control,EPM_trial_3,141,12,-0.039780455,1.774573092,-3.141524789,3.139004853,-0.258361314,15.75074338,-313.5823359,312.8179711,97.93443189,69.17205732,3.411622145,449.5435375,0.030192132,0.716969697
control,EPM_trial_3,141,13,-0.018635306,1.514218418,-3.011396091,2.841347002,-2.737794714,7.980247414,-39.04575876,5.750359609,141.8581283,79.27277788,21.67604672,329.6958568,0.014638609,0.07625
control,EPM_trial_3,141,14,-0.076595562,1.834314413,-2.438852135,3.126945801,-1.009219667,18.87813591,-8.16688866,309.7095029,150.043234,91.48350499,2.567069107,542.3788368,0.018298262,0.279
control,EPM_trial_3,141,15,-0.573209327,1.843346201,-3.121421917,3.062602328,1.276227339,25.65576739,-309.9014246,9.553325994,159.9307523,113.2128627,3.745706083,590.9076069,0.009149131,0.3
control,EPM_trial_3,141,16,0.063040584,1.379358438,-2.100620504,2.666216705,0.050501793,5.30044562,-20.95360648,16.27119772,103.2794857,57.24682944,2.663731042,242.6057812,0.01189387,0.146153846
control,EPM_trial_3,141,17,-0.6655664,1.37851159,-2.31462922,0.859490673,-11.37659621,45.23009098,-183.8125989,8.033207868,126.3373873,58.53343736,55.07125342,234.0102419,0.002744739,0.113333333
control,EPM_trial_4,98,0,-1.014719956,1.988759005,-3.140259296,3.141327665,0.074640245,7.709027933,-313.8323563,313.9874721,38.55287669,25.69438946,0.140069441,523.8590527,0.155769231,0.819753086
control,EPM_trial_4,98,1,-0.66780539,1.991621211,-3.141053916,3.139620899,-0.143025627,17.45787127,-313.9487809,313.9626587,51.97404161,46.86118896,0.699327101,618.4014954,0.118269231,0.630081301
control,EPM_trial_4,98,2,-0.403314453,1.769739787,-3.120297284,3.131381422,0.279284685,10.97984951,-313.466914,7.525064693,80.51350568,57.29811216,1.677723782,399.2341822,0.108653846,0.288849558
control,EPM_trial_4,98,3,0.074540801,1.928275631,-3.135887097,3.128374358,0.361498187,21.14974103,-311.8004419,312.4963578,52.38409534,36.07295542,0,520.1716142,0.1125,0.219316239
control,EPM_trial_4,98,4,-0.499158604,2.111315616,-3.137717747,3.139766513,0.596964913,18.64240398,-5.009007897,313.293747,67.61269367,55.07073386,2.481382347,576.1656789,0.080769231,0.537619048
control,EPM_trial_4,98,5,-0.139016131,1.599080831,-3.135889265,3.138893681,-0.120593315,21.8970148,-313.1817557,313.2805312,103.2131766,63.42991443,2.371177054,335.536341,0.067307692,0.293714286
control,EPM_trial_4,98,6,-0.799736065,1.785437073,-3.134066579,3.138965514,-0.224085365,16.86463237,-313.4407692,313.6642283,82.98936873,66.24619464,1.960746766,373.6407075,0.033653846,0.592571429
control,EPM_trial_4,98,7,-0.056015062,1.779146103,-3.131465804,3.126051179,0.748158255,25.5197984,-308.195094,312.42495,86.12003513,52.81366929,2.601532381,288.8861015,0.043269231,0.270222222
control,EPM_trial_4,98,8,-0.339443297,1.797758687,-3.126326016,3.13155188,-0.81854543,17.23525884,-312.4168049,4.228410853,273.3980005,204.2398299,12.47166616,859.1365135,0.020192308,0.627619048
control,EPM_trial_4,98,9,-0.201315498,1.864291915,-3.131465804,3.126005905,-0.491753663,56.98448053,-311.6694923,308.5338652,95.09838773,57.02224122,2.743770775,254.6609505,0.040384615,0.050952381
control,EPM_trial_4,98,10,-0.235931277,2.019567419,-3.139794261,3.137346212,-0.323033525,24.36042721,-313.8786557,313.6875035,76.80554521,49.4397243,1.290660228,432.5076657,0.028846154,0.663333333
control,EPM_trial_4,98,11,-0.894328675,1.722588082,-3.131445341,3.116317353,-1.104314786,21.99719232,-312.6352189,9.362141137,215.2866908,144.5122126,1.815995763,705.6192263,0.025961538,0.445925926
control,EPM_trial_4,98,12,-0.279267043,1.744477963,-3.105425123,3.139004471,-0.268734808,10.08076796,-312.5685937,3.758504842,89.8758631,49.94039873,0.543709255,286.5859493,0.025961538,0.714814815
control,EPM_trial_4,98,13,0.114819666,1.851303981,-3.051816577,3.125753217,-4.68667409,52.17130402,-311.6566581,309.3802557,124.1061921,72.57116698,9.187943207,359.0905866,0.032692308,0.094117647
control,EPM_trial_4,98,14,-0.054327364,1.851097639,-3.137339788,3.138957199,-1.72536354,17.37427906,-312.6757164,7.489222487,126.6858658,137.5472781,5.396367751,835.7909588,0.025961538,0.243703704
control,EPM_trial_4,98,15,0.746977737,1.846023336,-3.134065708,3.13520055,1.767462622,22.7848096,-310.368738,79.24422795,110.0313786,54.07372915,9.431646095,293.5129479,0.017307692,0.23
control,EPM_trial_4,98,16,0.44246191,1.568804948,-3.061096383,3.109395295,3.656437895,31.36057194,-24.88255328,311.0036144,88.74796842,53.02900204,2.734319236,262.990228,0.016346154,0.192941176
control,EPM_trial_4,98,17,0.961338588,0.412557424,0.512633595,1.357692758,-7.66622182,8.101060905,-20.54369551,-0.928584132,131.7407156,44.98265586,67.25534678,182.6268068,0.001923077,0.08
control,EPM_trial_5,102,0,-0.070699534,1.624332245,-3.13931109,3.138851076,0.135936629,8.231491666,-314.0526754,314.0504783,40.0006313,28.50463527,0.713697557,633.7953164,0.129612961,0.80875
control,EPM_trial_5,102,1,-0.261526212,1.698185387,-3.139511428,3.139685624,0.132238112,8.510879043,-313.4805649,314.0801395,49.47418513,35.12293834,0.460337154,469.7301068,0.143114311,0.685660377
control,EPM_trial_5,102,2,0.023628807,1.549939819,-3.137370387,3.138837947,0.383748729,8.459720071,-313.490356,6.910188177,80.45712075,55.93604805,2.885544485,568.4225077,0.117011701,0.426307692
control,EPM_trial_5,102,3,0.444837429,1.761958352,-3.109598386,3.129626383,-0.174394972,12.03080832,-302.6754981,312.9409184,60.08659397,71.10228172,0,1150.636078,0.091809181,0.26254902
control,EPM_trial_5,102,4,-0.689516737,1.884808753,-3.138700454,3.141212318,0.001723136,13.97927365,-313.6738341,313.5893691,72.67327372,78.32167259,0.383550823,734.2639631,0.072907291,0.621728395
control,EPM_trial_5,102,5,-0.21183451,1.758711567,-3.139196643,3.135462833,0.357283814,24.53539449,-313.7375361,313.5933552,105.1666705,89.80642122,0.782520032,871.3164084,0.077407741,0.34
control,EPM_trial_5,102,6,-0.127536337,1.423958711,-3.058498922,2.97503495,0.035898656,0.543684337,-1.775148011,3.482770699,106.47754,113.3060212,3.011135757,818.649723,0.04230423,0.606382979
control,EPM_trial_5,102,7,-0.372527499,1.806666545,-3.137657611,3.122291832,0.571391648,25.69333304,-313.3743536,311.3846304,119.1813132,123.0170043,6.162873445,1031.99637,0.050405041,0.158928571
control,EPM_trial_5,102,8,-0.586519265,1.768172452,-3.135297015,3.141009304,-0.710652539,17.7322618,-312.669188,4.619230337,233.0291475,187.2162567,1.428403907,1001.801487,0.03960396,0.564090909
control,EPM_trial_5,102,9,0.704559044,1.774830397,-2.719317083,3.026956787,-7.516359765,78.24618819,-306.7685306,290.4547601,160.6400652,185.7486974,4.244008281,872.0778883,0.02070207,0.039130435
control,EPM_trial_5,102,10,-0.439975903,1.632685845,-3.135016944,3.141275528,-0.07973806,12.58566737,-312.7691425,313.6446378,101.4316699,91.49401491,0.618774807,712.7035035,0.04860486,0.921111111
control,EPM_trial_5,102,11,-0.631824821,1.572038942,-2.958979133,1.305978747,0.135807776,0.973463711,-3.544136623,8.005867571,232.6385808,198.1156893,2.845801662,939.5238192,0.02970297,0.587272727
control,EPM_trial_5,102,12,-0.345128927,1.405148303,-3.07447738,2.792401185,-0.078917031,0.693429072,-7.998238273,1.958522402,95.20756588,86.53098274,5.389415584,898.3272767,0.01980198,0.809090909
control,EPM_trial_5,102,13,0.198849324,1.679551621,-2.915616736,2.847883092,1.875623896,13.29791079,-15.46738331,97.15458628,114.342943,65.60045895,7.590651556,314.8680001,0.01890189,0.072380952
control,EPM_trial_5,102,14,0.270696683,1.521481344,-2.306380969,2.272193706,-1.602229776,2.729082739,-10.68613094,6.052823742,116.4709087,71.04001054,3.63161691,385.7028133,0.01980198,0.300909091
control,EPM_trial_5,102,15,-0.459643662,1.993568775,-3.137572283,3.1360945,-2.166503026,40.80599403,-312.4523002,10.80457541,171.4626601,119.0939724,6.441166115,610.3938073,0.02070207,0.406956522
control,EPM_trial_5,102,16,0.549744813,1.114618564,-1.516429869,2.215184634,-0.960355487,9.631967686,-42.610608,17.95502734,105.2829782,61.39440844,11.13689238,241.4555282,0.00630063,0.182857143
control,EPM_trial_5,102,17,1.108761362,0.506003288,0.76703739,2.674439772,-2.550812807,4.386671391,-10.59208837,4.711381026,91.80077275,45.21254256,32.61076693,209.2352022,0.00540054,0.053333333
control,EPM_trial_6,112,0,0.189313428,1.802502465,-3.140808827,3.141096226,-0.010302423,6.250245331,-312.8731485,314.0344436,40.05501263,32.1040702,0.234822003,492.2952918,0.132718894,0.699722222
control,EPM_trial_6,112,1,-0.001876046,1.708543451,-3.141479209,3.139815273,0.101995105,13.99610871,-314.0695598,313.8105745,52.75985164,38.20707412,0.493032884,338.1708175,0.148387097,0.686459627
control,EPM_trial_6,112,2,-0.051413889,1.784166323,-3.135396646,3.138571593,0.404286113,14.2945802,-314.0101382,313.4984854,80.28075946,64.50493571,0.954334238,796.0861889,0.129953917,0.41248227
control,EPM_trial_6,112,3,0.360127915,1.779227101,-3.124341401,3.135419051,-0.140998031,12.20889287,-313.30689,310.9187255,55.07346106,45.30904471,1.161458466,702.8803798,0.082949309,0.297111111
control,EPM_trial_6,112,4,0.196969552,1.885357192,-3.141473491,3.141423288,0.195390694,16.67750784,-312.7236125,313.58457,66.16698669,45.15519702,0.863357389,303.1235421,0.071889401,0.724102564
control,EPM_trial_6,112,5,-0.24977871,1.944758613,-3.140045501,3.139799852,-0.120643713,25.92366848,-313.3000577,313.4379103,96.21340891,65.99527678,2.845145958,470.3446986,0.067281106,0.36
control,EPM_trial_6,112,6,-0.38196643,1.673804789,-3.139849906,3.138652435,-0.201245185,8.285519321,-313.6787097,2.744033994,106.9208465,99.88935817,1.638880221,740.7210464,0.058064516,0.912063492
control,EPM_trial_6,112,7,0.273290502,1.848598497,-3.113749182,3.123365323,-0.639133372,30.43697975,-309.0930921,310.962301,101.3275923,70.80659812,0,507.6580255,0.033179724,0.175
control,EPM_trial_6,112,8,-0.775586171,1.895431179,-3.141415191,3.133482566,-0.528669195,20.04163389,-313.5282179,312.0851121,217.8114464,174.843349,2.147928313,1094.4369,0.048847926,0.64
control,EPM_trial_6,112,9,1.209122291,1.315166388,-2.149654326,3.08987873,7.109256703,41.7263027,-6.863678912,286.4048705,90.50184294,56.9059243,18.62979735,264.1870737,0.023963134,0.036923077
control,EPM_trial_6,112,10,-0.987324081,1.64009352,-3.139881777,3.12712908,-0.343061303,9.636666818,-313.5566813,7.274344729,100.3540801,75.05072883,2.375391094,511.9227096,0.044239631,0.87875
control,EPM_trial_6,112,11,-0.51429807,1.651406827,-3.141521518,3.050264445,-1.027174975,20.80409741,-311.4445962,9.470998042,171.024719,143.9754237,1.89024989,1040.183983,0.033179724,0.495
control,EPM_trial_6,112,12,0.728382939,1.85813102,-3.141545074,3.139167215,-0.022562231,13.4932873,-313.1262317,313.5686993,97.41940488,76.38675066,1.275835271,486.1057305,0.028571429,0.698064516
control,EPM_trial_6,112,13,1.346281095,1.687083581,-3.138737826,3.09515015,0.672405381,11.61651478,-17.4525673,68.04847013,105.8968353,51.74704223,24.57976105,236.868856,0.020276498,0.068181818
control,EPM_trial_6,112,14,0.445624769,1.660001359,-3.01566119,3.127857317,0.062378751,27.2715082,-8.988070375,310.1724666,168.6741716,158.270861,9.35683116,885.9355994,0.014746544,0.16625
control,EPM_trial_6,112,15,-0.336191793,1.836662807,-3.130421915,3.097490196,1.224614335,25.17401728,-310.7906061,8.547673672,109.0627235,53.77254515,9.071752326,261.0130729,0.016589862,0.345555556
