ID,Group,Channel_1_DAPI.Intensity Mean Value,Channel_2_Op520.Intensity Mean Value,Channel_3_Op570.Intensity Mean Value,Channel_4_Op690.Intensity Mean Value,Channel_1_DAPI.Intensity Standard Deviation,Channel_2_Op520.Intensity Standard Deviation,Channel_3_Op570.Intensity Standard Deviation,Channel_4_Op690.Intensity Standard Deviation
316,WT,930.4560117,1841.724319,551.5818275,1087.555957,422.618019,397.2349977,77.90536416,382.705208
316,WT,885.8142194,1740.473606,590.0991437,743.5481353,510.7595753,425.2867538,95.05349292,275.7694913
316,WT,1158.035128,1848.433758,634.6275996,821.5769488,708.7686434,389.1942217,129.3875155,437.2295285
316,WT,848.7077815,1445.86082,488.3105195,1203.122951,629.4200261,281.0962144,69.93084045,699.2159944
316,WT,1514.207951,1788.080259,760.4022485,2377.056595,1074.534879,369.8578256,173.8151677,1213.323432
316,WT,1143.960763,1622.500383,682.2621936,1298.788489,791.9128807,303.5586554,165.5969377,709.4981441
316,WT,1154.612809,2032.991114,648.0301331,1099.832836,818.7470286,548.5832956,103.9932598,497.9658415
316,WT,1066.943026,1698.166022,599.59209,865.7144807,706.9517375,381.5932897,85.74797873,496.7676751
316,WT,959.4587874,1688.576735,625.9946103,927.517571,631.4202278,390.0123772,101.792473,460.7518104
316,WT,797.2946876,1739.929386,612.4499436,1235.99411,552.5854311,328.7739021,86.22140577,630.3329267
316,WT,1107.19792,2152.616952,725.6918717,1090.895736,734.23442,641.5747439,157.4623376,498.3142722
316,WT,1198.160447,1646.701037,623.0140564,863.820071,750.8883539,329.2417188,104.6839414,389.2602252
251,WT,1101.284326,937.3917092,537.4201095,940.1991522,689.5164112,263.8683231,71.28154899,588.9603549
251,WT,1022.670001,863.6623459,510.95705,930.5434181,637.4495166,225.1019925,87.21257213,645.1211492
251,WT,993.117262,820.0978142,497.1045572,1067.519448,526.2064935,238.9385942,109.5595513,769.6471888
251,WT,2849.284462,1759.745153,750.1671309,1065.959504,2748.584352,791.0248421,164.4491224,694.1678309
251,WT,2669.545666,1598.419869,740.3829936,1188.495484,2209.983031,592.2290472,157.897007,670.6865894
251,WT,2569.833932,2010.562845,876.4853361,1321.712269,1697.586238,781.7509295,221.9089512,711.7001607
251,WT,1292.555493,1034.095213,656.6262347,1198.15294,731.5324574,278.6483199,85.6163877,578.7429433
251,WT,1612.074112,975.2071249,567.4327933,1588.955718,744.7719441,254.9300087,109.1732309,840.2964187
251,WT,1589.805099,1023.427512,612.3162094,1181.217732,730.5883474,247.9686519,121.4775571,606.4670516
251,WT,3264.876358,1735.642816,596.0744576,1249.980689,3126.212489,402.0385595,111.4112495,778.8293426
251,WT,4036.964192,1628.860299,554.7167486,1557.571921,3121.629435,406.3587199,93.05790584,863.2228747
251,WT,4267.652643,1884.948177,588.391689,1040.180134,3051.170563,600.0038572,147.0409023,787.8392332
320,WT,873.2128638,1883.953067,627.8395731,1468.541547,609.3806926,364.2235267,99.33667526,655.2123006
320,WT,975.7212294,1995.09653,662.3974246,1376.206954,728.9436357,393.8127052,122.1435854,615.4975368
320,WT,1016.247097,2005.545058,617.3501593,850.1058328,699.7036028,433.0817997,92.85048659,475.7752013
320,WT,1089.25866,1665.114162,561.4862699,1200.778971,872.191145,362.4479155,99.75544902,834.1827752
320,WT,1027.717989,1621.653637,551.0749108,1215.176307,857.8636648,385.6324926,107.7076691,717.8614552
320,WT,819.8295296,2078.945868,611.1213534,967.1306834,628.9991344,488.8918481,114.3283384,486.831821
320,WT,1040.697202,1837.238901,626.3525848,859.6647288,834.3358879,469.4816954,110.2163935,495.9286042
320,WT,1074.874414,1827.014116,702.4387006,1544.184284,759.9961409,383.8852946,164.8261825,919.757243
320,WT,1353.920189,1976.308781,738.6316756,1390.76081,873.9684951,491.98322,176.7183304,779.8505968
320,WT,847.9637632,1875.105778,623.7944649,770.0918214,622.7729933,414.9370744,65.3321986,283.2198756
320,WT,1091.481617,2125.379012,729.5764249,1091.043181,743.8587148,390.1457097,134.1157829,573.2886233
320,WT,866.9559489,2196.221996,688.3479817,925.9036526,642.5993155,623.7767506,124.100602,540.8170559
318,TDP,783.3314897,1226.792788,504.1319824,971.9279875,443.1330542,520.3501467,86.98132648,470.9349723
318,TDP,1222.260023,966.3847935,580.8947921,1229.880121,645.2794883,232.8465126,81.43825175,626.2765952
318,TDP,1401.472589,814.985107,565.8939023,1359.007147,599.515717,141.1415555,95.55625737,712.8347944
318,TDP,1300.910842,947.3984884,602.2618028,1082.070693,808.3414223,363.6220559,75.06028472,592.5574094
318,TDP,1834.58303,1143.978543,703.7621181,1596.03279,1138.529779,368.1878562,151.8908702,719.578042
318,TDP,1258.222054,1092.615901,553.9452552,854.5077451,709.2693736,410.1922737,88.86172535,428.7212876
318,TDP,2533.842934,1294.938996,731.6371257,1306.511239,1716.425248,417.9549834,120.5720644,702.7517651
318,TDP,2559.071053,1332.02982,735.665628,1431.883891,1960.244188,436.8648468,204.3811058,803.1908732
318,TDP,3153.998747,1497.129658,620.039985,889.1051058,2493.600606,556.9149458,118.7986125,567.6569389
318,TDP,811.8953513,1653.093602,636.7942657,1179.897905,522.5489373,587.1181494,108.1154768,570.6242702
318,TDP,752.1717786,1187.134538,573.325521,1486.133541,448.6771054,349.4259612,89.52927507,746.4996533
318,TDP,1073.350222,1109.421351,619.0069413,1349.700078,633.525878,272.135425,91.73328457,709.6981974
235,TDP,1086.374378,1517.071354,574.2298976,968.6409565,654.1957483,742.9938868,130.1154293,585.8713285
235,TDP,1103.002481,1846.120285,593.6343714,767.9222829,696.022789,836.8274734,140.3820358,447.0636462
235,TDP,668.8549399,1168.859158,572.1011379,1195.913185,436.4783827,408.2286485,145.0136629,750.6587851
235,TDP,1005.990992,1641.71672,837.930748,1654.72427,844.2670144,554.3044794,235.3799217,859.2943836
235,TDP,867.5005285,1587.539991,766.0624366,1468.401604,707.2785054,515.6696402,209.9434584,812.1266975
235,TDP,1104.419233,1615.643963,756.1997459,1118.089279,711.619435,541.1584538,193.626767,558.0360547
235,TDP,1503.104151,1077.677664,553.7557358,1327.215619,806.1660524,274.1934713,97.82088246,713.8113994
235,TDP,1243.237379,1046.443544,549.4480886,1150.549865,781.0079158,311.9266572,117.811279,693.8404737
235,TDP,925.8578529,1099.787436,575.0482095,965.9776633,567.6094815,357.1778261,130.0946712,545.692671
235,TDP,1021.800568,859.4160143,486.5993924,1659.931442,708.8131889,220.2260468,65.42622025,886.6113782
235,TDP,977.6596506,824.3605792,502.8717659,1401.912469,689.9786678,207.6609929,93.33220406,799.8507671
235,TDP,1138.738838,828.1477346,511.2838801,929.0780121,747.7056582,166.196438,72.61383133,451.6935525
314,TDP,1578.529109,1485.882295,546.1310639,1319.519132,797.8694878,546.6834698,145.6881814,637.0222262
314,TDP,1160.668337,1581.691707,442.9994966,693.2855022,713.3658409,786.2477522,89.17643988,394.1162957
314,TDP,984.2336333,1324.240087,495.3064035,1057.970763,681.3566745,429.1248083,98.16416239,511.5220743
314,TDP,1350.654946,1315.071114,554.8590129,1094.725717,1000.840696,380.8110847,113.9616385,620.8480847
314,TDP,1232.126384,1254.604748,475.2170446,936.5262531,867.4886638,388.9859203,80.7553643,548.129972
314,TDP,1330.590632,1607.562439,490.6425509,730.1598152,894.1000226,641.5459787,90.80067957,380.0951762
314,TDP,2219.027402,1703.255272,616.9177093,1005.929234,2040.158932,591.4801609,147.9483974,562.7691352
314,TDP,2312.785975,1962.213267,700.6908591,1344.289871,1926.499413,714.3404126,181.9813128,684.5450454
314,TDP,1776.177797,1710.338581,656.2883362,1069.868169,1682.137675,674.7003425,158.2487243,585.3360362
314,TDP,1094.759263,1637.334141,601.0774824,1242.720423,909.8703652,661.2896516,156.5882192,733.7021639
314,TDP,1155.940338,2262.356289,383.7506456,782.2081895,923.0594281,980.1620608,89.23719166,434.1876012
314,TDP,1021.441044,1779.203991,624.1597316,1116.12291,893.4863304,716.6546041,147.5963826,615.6352989
